pitch,time_start,duration,beat_type,string,position,finger
65,139,180,32th,N/A,N/A,N/A
62,160,60,8th,N/A,N/A,N/A
59,266,360,16th,N/A,N/A,N/A
62,293,60,16th,N/A,N/A,N/A
65,320,60,16th,N/A,N/A,N/A
69,346,60,16th,N/A,N/A,N/A
71,373,60,16th,N/A,N/A,N/A
74,399,60,16th,N/A,N/A,N/A
77,426,60,16th,N/A,N/A,N/A
81,453,60,16th,N/A,N/A,N/A
77,0,60,8th,N/A,N/A,N/A
76,120,60,32th,N/A,N/A,N/A
77,139,60,32th,N/A,N/A,N/A
74,160,60,8th,N/A,N/A,N/A
71,266,60,16th,N/A,N/A,N/A
74,293,60,16th,N/A,N/A,N/A
77,320,60,16th,N/A,N/A,N/A
81,346,120,16th,N/A,N/A,N/A
83,373,120,16th,N/A,N/A,N/A
86,399,180,16th,N/A,N/A,N/A
89,426,30,16th,N/A,N/A,N/A
93,453,30,16th,N/A,N/A,N/A
92,0,120,8th,N/A,N/A,N/A
88,79,40,16th,N/A,N/A,N/A
92,120,40,16th,N/A,N/A,N/A
83,160,40,16th,N/A,N/A,N/A
88,199,40,16th,N/A,N/A,N/A
84,240,40,16th,N/A,N/A,N/A
88,279,40,16th,N/A,N/A,N/A
81,320,40,16th,N/A,N/A,N/A
84,360,40,16th,N/A,N/A,N/A
76,399,40,16th,N/A,N/A,N/A
81,440,180,16th,N/A,N/A,N/A
80,0,30,16th,N/A,N/A,N/A
83,40,30,16th,N/A,N/A,N/A
76,79,120,16th,N/A,N/A,N/A
80,120,40,16th,N/A,N/A,N/A
71,160,40,16th,N/A,N/A,N/A
76,199,40,16th,N/A,N/A,N/A
75,240,40,16th,N/A,N/A,N/A
78,279,40,16th,N/A,N/A,N/A
83,320,40,16th,N/A,N/A,N/A
87,360,40,16th,N/A,N/A,N/A
90,399,40,16th,N/A,N/A,N/A
95,440,40,16th,N/A,N/A,N/A
92,0,120,16th,N/A,N/A,N/A
95,40,60,16th,N/A,N/A,N/A
88,79,60,16th,N/A,N/A,N/A
92,120,60,16th,N/A,N/A,N/A
83,160,60,16th,N/A,N/A,N/A
88,199,60,16th,N/A,N/A,N/A
84,240,60,16th,N/A,N/A,N/A
88,279,60,16th,N/A,N/A,N/A
81,320,60,16th,N/A,N/A,N/A
84,360,60,16th,N/A,N/A,N/A
76,399,60,16th,N/A,N/A,N/A
81,440,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
83,40,60,16th,N/A,N/A,N/A
76,79,60,16th,N/A,N/A,N/A
80,120,60,16th,N/A,N/A,N/A
71,160,60,16th,N/A,N/A,N/A
76,199,60,16th,N/A,N/A,N/A
75,240,60,16th,N/A,N/A,N/A
78,279,120,16th,N/A,N/A,N/A
83,320,120,16th,N/A,N/A,N/A
87,360,180,16th,N/A,N/A,N/A
90,399,30,16th,N/A,N/A,N/A
95,440,30,16th,N/A,N/A,N/A
92,0,120,16th,N/A,N/A,N/A
95,40,40,16th,N/A,N/A,N/A
88,79,40,16th,N/A,N/A,N/A
92,120,40,16th,N/A,N/A,N/A
83,160,40,16th,N/A,N/A,N/A
92,199,40,16th,N/A,N/A,N/A
88,240,40,16th,N/A,N/A,N/A
92,279,40,16th,N/A,N/A,N/A
83,320,40,16th,N/A,N/A,N/A
88,360,40,16th,N/A,N/A,N/A
80,399,180,16th,N/A,N/A,N/A
88,440,30,16th,N/A,N/A,N/A
83,0,30,16th,N/A,N/A,N/A
88,40,120,16th,N/A,N/A,N/A
80,79,40,16th,N/A,N/A,N/A
83,120,40,16th,N/A,N/A,N/A
76,160,40,16th,N/A,N/A,N/A
83,199,40,16th,N/A,N/A,N/A
80,240,40,16th,N/A,N/A,N/A
83,279,40,16th,N/A,N/A,N/A
76,320,40,16th,N/A,N/A,N/A
80,360,40,16th,N/A,N/A,N/A
71,399,40,16th,N/A,N/A,N/A
80,440,120,16th,N/A,N/A,N/A
76,0,60,16th,N/A,N/A,N/A
80,40,60,16th,N/A,N/A,N/A
71,79,60,16th,N/A,N/A,N/A
76,120,60,16th,N/A,N/A,N/A
68,160,60,16th,N/A,N/A,N/A
76,199,60,16th,N/A,N/A,N/A
71,240,60,16th,N/A,N/A,N/A
76,279,60,16th,N/A,N/A,N/A
68,320,60,16th,N/A,N/A,N/A
71,360,60,16th,N/A,N/A,N/A
64,399,60,16th,N/A,N/A,N/A
76,440,60,16th,N/A,N/A,N/A
71,0,60,16th,N/A,N/A,N/A
76,40,60,16th,N/A,N/A,N/A
68,79,60,16th,N/A,N/A,N/A
71,120,60,16th,N/A,N/A,N/A
64,160,60,16th,N/A,N/A,N/A
76,199,60,16th,N/A,N/A,N/A
71,240,60,16th,N/A,N/A,N/A
76,279,60,16th,N/A,N/A,N/A
68,320,60,16th,N/A,N/A,N/A
71,360,60,16th,N/A,N/A,N/A
64,399,60,16th,N/A,N/A,N/A
76,440,60,16th,N/A,N/A,N/A
64,0,60,4th,N/A,N/A,N/A
64,240,60,4th,N/A,N/A,N/A
64,0,60,4th,N/A,N/A,N/A
63,240,60,8th,N/A,N/A,N/A
63,240,60,32th,N/A,N/A,N/A
64,256,60,32th,N/A,N/A,N/A
66,272,60,32th,N/A,N/A,N/A
68,288,60,32th,N/A,N/A,N/A
69,304,60,32th,N/A,N/A,N/A
71,320,60,32th,N/A,N/A,N/A
72,336,60,32th,N/A,N/A,N/A
74,352,60,32th,N/A,N/A,N/A
76,368,60,32th,N/A,N/A,N/A
78,384,60,32th,N/A,N/A,N/A
80,399,60,32th,N/A,N/A,N/A
81,416,60,32th,N/A,N/A,N/A
83,431,60,32th,N/A,N/A,N/A
84,448,60,32th,N/A,N/A,N/A
86,463,60,32th,N/A,N/A,N/A
88,0,60,8th,N/A,N/A,N/A
87,79,60,8th,N/A,N/A,N/A
88,160,60,8th,N/A,N/A,N/A
86,0,60,8th,N/A,N/A,N/A
84,160,60,8th,N/A,N/A,N/A
84,240,60,4th,N/A,N/A,N/A
83,399,60,8th,N/A,N/A,N/A
83,0,60,4th,N/A,N/A,N/A
81,160,60,8th,N/A,N/A,N/A
81,240,60,16th,N/A,N/A,N/A
83,240,60,16th,N/A,N/A,N/A
81,240,60,8th,N/A,N/A,N/A
80,320,60,8th,N/A,N/A,N/A
81,399,60,8th,N/A,N/A,N/A
79,0,60,8th,N/A,N/A,N/A
77,160,60,8th,N/A,N/A,N/A
77,240,60,4th,N/A,N/A,N/A
76,399,60,8th,N/A,N/A,N/A
76,0,60,4th,N/A,N/A,N/A
74,160,60,8th,N/A,N/A,N/A
74,240,60,16th,N/A,N/A,N/A
76,240,60,16th,N/A,N/A,N/A
74,240,60,8th,N/A,N/A,N/A
73,320,60,8th,N/A,N/A,N/A
74,399,60,8th,N/A,N/A,N/A
72,0,60,8th,N/A,N/A,N/A
70,160,60,8th,N/A,N/A,N/A
70,240,60,4th,N/A,N/A,N/A
69,399,60,8th,N/A,N/A,N/A
69,0,60,8th,N/A,N/A,N/A
68,79,60,8th,N/A,N/A,N/A
71,160,60,8th,N/A,N/A,N/A
62,320,60,16th,N/A,N/A,N/A
64,360,60,16th,N/A,N/A,N/A
65,399,60,8th,N/A,N/A,N/A
62,79,60,16th,N/A,N/A,N/A
64,120,60,16th,N/A,N/A,N/A
65,160,60,8th,N/A,N/A,N/A
64,320,60,16th,N/A,N/A,N/A
65,360,60,16th,N/A,N/A,N/A
64,399,60,16th,N/A,N/A,N/A
62,440,60,16th,N/A,N/A,N/A
60,0,60,16th,N/A,N/A,N/A
62,40,60,16th,N/A,N/A,N/A
60,79,60,16th,N/A,N/A,N/A
59,120,60,16th,N/A,N/A,N/A
57,160,60,8th,N/A,N/A,N/A
88,240,60,16th,N/A,N/A,N/A
89,240,60,16th,N/A,N/A,N/A
88,240,60,8th,N/A,N/A,N/A
87,320,60,8th,N/A,N/A,N/A
88,399,360,8th,N/A,N/A,N/A
86,0,360,8th,N/A,N/A,N/A
84,160,360,8th,N/A,N/A,N/A
84,240,0,4th,N/A,N/A,N/A
83,399,24,8th,N/A,N/A,N/A
83,0,24,4th,N/A,N/A,N/A
81,160,24,8th,N/A,N/A,N/A
81,240,24,16th,N/A,N/A,N/A
83,240,24,16th,N/A,N/A,N/A
81,240,24,8th,N/A,N/A,N/A
80,320,24,8th,N/A,N/A,N/A
81,399,24,8th,N/A,N/A,N/A
79,0,24,8th,N/A,N/A,N/A
77,160,24,8th,N/A,N/A,N/A
77,240,24,4th,N/A,N/A,N/A
76,399,24,8th,N/A,N/A,N/A
76,0,24,4th,N/A,N/A,N/A
74,160,24,8th,N/A,N/A,N/A
74,240,24,16th,N/A,N/A,N/A
76,240,120,16th,N/A,N/A,N/A
74,240,120,8th,N/A,N/A,N/A
73,320,120,8th,N/A,N/A,N/A
74,399,120,8th,N/A,N/A,N/A
72,0,120,8th,N/A,N/A,N/A
70,160,120,8th,N/A,N/A,N/A
70,240,240,4th,N/A,N/A,N/A
69,399,120,8th,N/A,N/A,N/A
64,0,240,8th,N/A,N/A,N/A
69,79,120,16th,N/A,N/A,N/A
72,120,0,16th,N/A,N/A,N/A
76,160,0,8th,N/A,N/A,N/A
74,320,120,16th,N/A,N/A,N/A
77,346,120,16th,N/A,N/A,N/A
81,373,120,16th,N/A,N/A,N/A
84,399,120,8th,N/A,N/A,N/A
64,0,120,8th,N/A,N/A,N/A
69,79,120,16th,N/A,N/A,N/A
72,120,240,16th,N/A,N/A,N/A
76,160,120,8th,N/A,N/A,N/A
74,320,240,16th,N/A,N/A,N/A
77,346,120,16th,N/A,N/A,N/A
81,373,0,16th,N/A,N/A,N/A
84,399,0,8th,N/A,N/A,N/A
64,0,120,16th,N/A,N/A,N/A
69,40,120,16th,N/A,N/A,N/A
72,79,120,16th,N/A,N/A,N/A
76,120,120,16th,N/A,N/A,N/A
66,160,120,16th,N/A,N/A,N/A
78,199,120,16th,N/A,N/A,N/A
68,240,240,16th,N/A,N/A,N/A
72,279,120,16th,N/A,N/A,N/A
76,320,120,16th,N/A,N/A,N/A
80,360,120,16th,N/A,N/A,N/A
69,399,120,16th,N/A,N/A,N/A
81,440,120,16th,N/A,N/A,N/A
70,0,60,16th,N/A,N/A,N/A
82,40,60,16th,N/A,N/A,N/A
71,79,120,16th,N/A,N/A,N/A
83,120,120,16th,N/A,N/A,N/A
72,160,60,16th,N/A,N/A,N/A
84,199,60,16th,N/A,N/A,N/A
73,240,120,16th,N/A,N/A,N/A
85,279,120,16th,N/A,N/A,N/A
74,320,60,16th,N/A,N/A,N/A
86,360,60,16th,N/A,N/A,N/A
75,399,60,16th,N/A,N/A,N/A
87,440,60,16th,N/A,N/A,N/A
88,0,60,8th,N/A,N/A,N/A
75,79,60,16th,N/A,N/A,N/A
76,120,60,16th,N/A,N/A,N/A
74,160,60,16th,N/A,N/A,N/A
76,199,120,16th,N/A,N/A,N/A
73,240,0,16th,N/A,N/A,N/A
76,279,0,16th,N/A,N/A,N/A
72,320,120,16th,N/A,N/A,N/A
76,360,120,16th,N/A,N/A,N/A
72,0,120,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
72,0,120,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
72,0,240,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
72,0,240,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
72,0,0,16th,N/A,N/A,N/A
76,0,0,16th,N/A,N/A,N/A
72,0,120,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
72,0,120,16th,N/A,N/A,N/A
76,0,120,16th,N/A,N/A,N/A
64,0,120,8th,N/A,N/A,N/A
66,79,120,16th,N/A,N/A,N/A
68,120,240,16th,N/A,N/A,N/A
69,160,120,16th,N/A,N/A,N/A
71,199,240,16th,N/A,N/A,N/A
72,240,120,16th,N/A,N/A,N/A
74,266,0,16th,N/A,N/A,N/A
76,293,0,16th,N/A,N/A,N/A
78,320,120,16th,N/A,N/A,N/A
80,346,120,16th,N/A,N/A,N/A
81,373,120,16th,N/A,N/A,N/A
83,399,120,16th,N/A,N/A,N/A
84,426,120,16th,N/A,N/A,N/A
86,453,120,16th,N/A,N/A,N/A
88,0,240,16th,N/A,N/A,N/A
90,26,120,16th,N/A,N/A,N/A
92,53,120,16th,N/A,N/A,N/A
93,79,60,32th,N/A,N/A,N/A
95,100,60,32th,N/A,N/A,N/A
96,120,120,32th,N/A,N/A,N/A
98,139,120,32th,N/A,N/A,N/A
100,160,40,8th,N/A,N/A,N/A
90,0,40,8th,N/A,N/A,N/A
92,0,40,8th,N/A,N/A,N/A
93,0,120,4th,N/A,N/A,N/A
71,0,120,8th,N/A,N/A,N/A
91,240,60,8th,N/A,N/A,N/A
91,320,60,16th,N/A,N/A,N/A
91,360,120,16th,N/A,N/A,N/A
91,399,120,16th,N/A,N/A,N/A
91,440,40,16th,N/A,N/A,N/A
95,0,40,8th,N/A,N/A,N/A
93,79,40,8th,N/A,N/A,N/A
91,160,120,8th,N/A,N/A,N/A
89,240,60,8th,N/A,N/A,N/A
87,320,60,8th,N/A,N/A,N/A
86,399,60,8th,N/A,N/A,N/A
89,0,60,16th,N/A,N/A,N/A
87,40,60,16th,N/A,N/A,N/A
86,79,60,8th,N/A,N/A,N/A
62,0,60,8th,N/A,N/A,N/A
86,0,60,8th,N/A,N/A,N/A
86,320,60,16th,N/A,N/A,N/A
86,360,60,16th,N/A,N/A,N/A
86,399,60,16th,N/A,N/A,N/A
86,440,60,16th,N/A,N/A,N/A
89,0,60,8th,N/A,N/A,N/A
87,79,60,8th,N/A,N/A,N/A
86,160,60,8th,N/A,N/A,N/A
83,240,60,8th,N/A,N/A,N/A
81,320,60,8th,N/A,N/A,N/A
79,399,60,8th,N/A,N/A,N/A
83,0,60,16th,N/A,N/A,N/A
81,40,60,16th,N/A,N/A,N/A
79,79,60,8th,N/A,N/A,N/A
55,160,60,8th,N/A,N/A,N/A
63,240,60,8th,N/A,N/A,N/A
62,320,60,16th,N/A,N/A,N/A
63,346,120,16th,N/A,N/A,N/A
62,373,120,16th,N/A,N/A,N/A
60,399,60,16th,N/A,N/A,N/A
62,426,60,16th,N/A,N/A,N/A
60,453,60,16th,N/A,N/A,N/A
59,0,60,16th,N/A,N/A,N/A
57,40,60,16th,N/A,N/A,N/A
55,79,60,8th,N/A,N/A,N/A
55,160,60,8th,N/A,N/A,N/A
63,240,60,8th,N/A,N/A,N/A
62,320,60,16th,N/A,N/A,N/A
63,346,60,16th,N/A,N/A,N/A
62,373,60,16th,N/A,N/A,N/A
60,399,60,16th,N/A,N/A,N/A
62,426,60,16th,N/A,N/A,N/A
60,453,60,16th,N/A,N/A,N/A
59,0,60,16th,N/A,N/A,N/A
57,40,60,16th,N/A,N/A,N/A
55,79,60,8th,N/A,N/A,N/A
67,160,60,8th,N/A,N/A,N/A
59,240,60,16th,N/A,N/A,N/A
57,279,60,16th,N/A,N/A,N/A
55,320,60,8th,N/A,N/A,N/A
71,399,60,8th,N/A,N/A,N/A
59,0,60,16th,N/A,N/A,N/A
57,40,60,16th,N/A,N/A,N/A
55,79,60,8th,N/A,N/A,N/A
74,160,60,8th,N/A,N/A,N/A
59,240,60,16th,N/A,N/A,N/A
57,279,60,16th,N/A,N/A,N/A
55,320,60,8th,N/A,N/A,N/A
79,399,60,8th,N/A,N/A,N/A
59,0,60,16th,N/A,N/A,N/A
57,40,60,16th,N/A,N/A,N/A
55,79,60,16th,N/A,N/A,N/A
62,120,60,16th,N/A,N/A,N/A
60,160,60,16th,N/A,N/A,N/A
59,199,60,16th,N/A,N/A,N/A
65,240,120,16th,N/A,N/A,N/A
64,279,60,16th,N/A,N/A,N/A
62,320,60,16th,N/A,N/A,N/A
71,360,60,16th,N/A,N/A,N/A
69,399,60,16th,N/A,N/A,N/A
67,440,40,16th,N/A,N/A,N/A
74,0,40,16th,N/A,N/A,N/A
72,40,40,16th,N/A,N/A,N/A
71,79,40,16th,N/A,N/A,N/A
77,120,40,16th,N/A,N/A,N/A
76,160,40,16th,N/A,N/A,N/A
74,199,40,16th,N/A,N/A,N/A
83,240,40,16th,N/A,N/A,N/A
81,279,40,16th,N/A,N/A,N/A
79,320,40,16th,N/A,N/A,N/A
86,360,40,16th,N/A,N/A,N/A
84,399,40,16th,N/A,N/A,N/A
83,440,30,16th,N/A,N/A,N/A
89,0,30,16th,N/A,N/A,N/A
86,40,30,16th,N/A,N/A,N/A
83,79,30,16th,N/A,N/A,N/A
79,120,120,16th,N/A,N/A,N/A
77,160,120,16th,N/A,N/A,N/A
76,199,120,16th,N/A,N/A,N/A
73,240,120,16th,N/A,N/A,N/A
74,279,120,16th,N/A,N/A,N/A
77,320,120,16th,N/A,N/A,N/A
79,360,360,16th,N/A,N/A,N/A
83,399,360,16th,N/A,N/A,N/A
86,440,120,16th,N/A,N/A,N/A
89,0,240,16th,N/A,N/A,N/A
86,40,720,16th,N/A,N/A,N/A
83,79,720,16th,N/A,N/A,N/A
79,120,720,16th,N/A,N/A,N/A
77,160,720,16th,N/A,N/A,N/A
76,199,720,16th,N/A,N/A,N/A
73,240,720,16th,N/A,N/A,N/A
74,279,720,16th,N/A,N/A,N/A
77,320,240,16th,N/A,N/A,N/A
79,360,120,16th,N/A,N/A,N/A
83,399,120,16th,N/A,N/A,N/A
86,440,120,16th,N/A,N/A,N/A
89,0,60,16th,N/A,N/A,N/A
86,40,60,16th,N/A,N/A,N/A
83,79,60,16th,N/A,N/A,N/A
79,120,60,16th,N/A,N/A,N/A
77,160,120,16th,N/A,N/A,N/A
76,199,120,16th,N/A,N/A,N/A
73,240,120,16th,N/A,N/A,N/A
74,279,120,16th,N/A,N/A,N/A
77,320,120,16th,N/A,N/A,N/A
76,360,120,16th,N/A,N/A,N/A
74,399,60,16th,N/A,N/A,N/A
72,440,60,16th,N/A,N/A,N/A
70,0,120,16th,N/A,N/A,N/A
71,40,120,16th,N/A,N/A,N/A
74,79,120,16th,N/A,N/A,N/A
72,120,120,16th,N/A,N/A,N/A
71,160,120,16th,N/A,N/A,N/A
69,199,60,16th,N/A,N/A,N/A
66,240,60,16th,N/A,N/A,N/A
67,279,60,16th,N/A,N/A,N/A
71,320,60,16th,N/A,N/A,N/A
69,360,120,16th,N/A,N/A,N/A
65,399,120,16th,N/A,N/A,N/A
64,440,120,16th,N/A,N/A,N/A
61,0,120,16th,N/A,N/A,N/A
62,40,120,16th,N/A,N/A,N/A
65,79,120,16th,N/A,N/A,N/A
64,120,60,16th,N/A,N/A,N/A
62,160,60,16th,N/A,N/A,N/A
60,199,120,16th,N/A,N/A,N/A
58,240,120,16th,N/A,N/A,N/A
59,279,120,16th,N/A,N/A,N/A
62,320,40,16th,N/A,N/A,N/A
60,360,40,16th,N/A,N/A,N/A
59,399,40,16th,N/A,N/A,N/A
57,440,40,16th,N/A,N/A,N/A
55,0,40,16th,N/A,N/A,N/A
57,40,40,16th,N/A,N/A,N/A
59,79,60,16th,N/A,N/A,N/A
60,120,60,16th,N/A,N/A,N/A
62,160,120,16th,N/A,N/A,N/A
64,199,120,16th,N/A,N/A,N/A
65,240,120,16th,N/A,N/A,N/A
67,279,40,16th,N/A,N/A,N/A
69,320,40,16th,N/A,N/A,N/A
71,360,40,16th,N/A,N/A,N/A
72,399,40,16th,N/A,N/A,N/A
74,440,40,16th,N/A,N/A,N/A
76,0,40,4th,N/A,N/A,N/A
76,240,60,8th,N/A,N/A,N/A
76,420,60,16th,N/A,N/A,N/A
77,0,120,16th,N/A,N/A,N/A
79,60,120,16th,N/A,N/A,N/A
77,120,60,16th,N/A,N/A,N/A
76,180,60,16th,N/A,N/A,N/A
74,240,120,4th,N/A,N/A,N/A
74,0,120,8th,N/A,N/A,N/A
68,120,60,4th,N/A,N/A,N/A
68,360,60,8th,N/A,N/A,N/A
68,0,120,4th,N/A,N/A,N/A
67,240,120,4th,N/A,N/A,N/A
72,120,60,4th,N/A,N/A,N/A
64,360,60,8th,N/A,N/A,N/A
65,0,120,16th,N/A,N/A,N/A
67,60,120,16th,N/A,N/A,N/A
65,120,60,16th,N/A,N/A,N/A
64,180,60,16th,N/A,N/A,N/A
62,240,60,4th,N/A,N/A,N/A
62,0,60,8th,N/A,N/A,N/A
65,120,60,4th,N/A,N/A,N/A
64,360,60,8th,N/A,N/A,N/A
62,0,60,4th,N/A,N/A,N/A
60,240,60,4th,N/A,N/A,N/A
76,240,60,8th,N/A,N/A,N/A
76,420,60,16th,N/A,N/A,N/A
77,0,60,16th,N/A,N/A,N/A
79,60,60,16th,N/A,N/A,N/A
77,120,60,16th,N/A,N/A,N/A
76,180,60,16th,N/A,N/A,N/A
74,240,60,4th,N/A,N/A,N/A
74,0,60,8th,N/A,N/A,N/A
68,120,60,4th,N/A,N/A,N/A
68,360,60,8th,N/A,N/A,N/A
68,0,60,4th,N/A,N/A,N/A
67,240,60,4th,N/A,N/A,N/A
72,120,60,4th,N/A,N/A,N/A
64,360,60,8th,N/A,N/A,N/A
66,0,60,16th,N/A,N/A,N/A
67,60,60,16th,N/A,N/A,N/A
66,120,60,16th,N/A,N/A,N/A
64,180,60,16th,N/A,N/A,N/A
63,240,60,4th,N/A,N/A,N/A
63,0,60,8th,N/A,N/A,N/A
69,120,60,4th,N/A,N/A,N/A
68,360,60,8th,N/A,N/A,N/A
66,0,60,4th,N/A,N/A,N/A
64,240,60,4th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
81,0,60,16th,N/A,N/A,N/A
83,0,60,16th,N/A,N/A,N/A
81,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
78,0,60,4th,N/A,N/A,N/A
78,0,60,8th,N/A,N/A,N/A
72,0,60,4th,N/A,N/A,N/A
72,0,60,8th,N/A,N/A,N/A
72,0,60,4th,N/A,N/A,N/A
71,0,60,4th,N/A,N/A,N/A
71,0,60,8th,N/A,N/A,N/A
71,0,60,16th,N/A,N/A,N/A
71,0,60,16th,N/A,N/A,N/A
76,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
83,0,60,16th,N/A,N/A,N/A
84,0,60,16th,N/A,N/A,N/A
86,0,60,16th,N/A,N/A,N/A
84,0,60,16th,N/A,N/A,N/A
83,0,60,16th,N/A,N/A,N/A
81,0,60,4th,N/A,N/A,N/A
81,0,60,8th,N/A,N/A,N/A
84,0,60,4th,N/A,N/A,N/A
83,0,60,8th,N/A,N/A,N/A
81,0,60,4th,N/A,N/A,N/A
80,0,60,4th,N/A,N/A,N/A
80,0,60,4th,N/A,N/A,N/A
76,0,60,16th,N/A,N/A,N/A
80,0,60,16th,N/A,N/A,N/A
83,0,60,16th,N/A,N/A,N/A
86,0,60,16th,N/A,N/A,N/A
86,120,60,16th,N/A,N/A,N/A
77,120,60,8th,N/A,N/A,N/A
88,180,60,16th,N/A,N/A,N/A
86,240,60,16th,N/A,N/A,N/A
85,300,60,16th,N/A,N/A,N/A
76,300,60,16th,N/A,N/A,N/A
85,0,60,4th,N/A,N/A,N/A
85,0,60,8th,N/A,N/A,N/A
88,0,60,4th,N/A,N/A,N/A
88,0,60,8th,N/A,N/A,N/A
88,0,60,4th,N/A,N/A,N/A
87,0,60,4th,N/A,N/A,N/A
87,0,60,4th,N/A,N/A,N/A
88,0,60,8th,N/A,N/A,N/A
87,0,60,8th,N/A,N/A,N/A
88,0,60,8th,N/A,N/A,N/A
87,0,60,16th,N/A,N/A,N/A
90,0,60,16th,N/A,N/A,N/A
90,0,60,16th,N/A,N/A,N/A
93,0,60,16th,N/A,N/A,N/A
93,0,60,4th,N/A,N/A,N/A
93,0,60,4th,N/A,N/A,N/A
63,240,60,8th,N/A,N/A,N/A
63,420,60,16th,N/A,N/A,N/A
64,0,60,16th,N/A,N/A,N/A
63,40,60,16th,N/A,N/A,N/A
64,79,60,16th,N/A,N/A,N/A
65,120,60,16th,N/A,N/A,N/A
64,160,60,16th,N/A,N/A,N/A
62,199,360,16th,N/A,N/A,N/A
62,240,120,16th,N/A,N/A,N/A
61,279,240,16th,N/A,N/A,N/A
62,320,240,16th,N/A,N/A,N/A
64,360,180,16th,N/A,N/A,N/A
62,399,60,16th,N/A,N/A,N/A
60,440,60,16th,N/A,N/A,N/A
60,0,60,16th,N/A,N/A,N/A
59,40,60,16th,N/A,N/A,N/A
60,79,60,16th,N/A,N/A,N/A
62,120,240,16th,N/A,N/A,N/A
60,160,120,16th,N/A,N/A,N/A
59,199,240,16th,N/A,N/A,N/A
57,240,120,16th,N/A,N/A,N/A
60,279,240,16th,N/A,N/A,N/A
63,320,240,16th,N/A,N/A,N/A
66,360,120,16th,N/A,N/A,N/A
69,399,240,16th,N/A,N/A,N/A
72,440,120,16th,N/A,N/A,N/A
76,0,60,16th,N/A,N/A,N/A
75,40,60,16th,N/A,N/A,N/A
76,79,60,16th,N/A,N/A,N/A
77,120,60,16th,N/A,N/A,N/A
76,160,240,16th,N/A,N/A,N/A
74,199,120,16th,N/A,N/A,N/A
74,240,240,16th,N/A,N/A,N/A
73,279,120,16th,N/A,N/A,N/A
74,320,240,16th,N/A,N/A,N/A
76,360,240,16th,N/A,N/A,N/A
74,399,240,16th,N/A,N/A,N/A
72,440,180,16th,N/A,N/A,N/A
72,0,60,16th,N/A,N/A,N/A
71,40,60,16th,N/A,N/A,N/A
72,79,60,16th,N/A,N/A,N/A
74,120,60,16th,N/A,N/A,N/A
72,160,60,16th,N/A,N/A,N/A
71,199,240,16th,N/A,N/A,N/A
69,240,120,16th,N/A,N/A,N/A
72,279,240,16th,N/A,N/A,N/A
75,320,120,16th,N/A,N/A,N/A
78,360,240,16th,N/A,N/A,N/A
81,399,240,16th,N/A,N/A,N/A
84,440,120,16th,N/A,N/A,N/A
88,0,240,8th,N/A,N/A,N/A
76,79,120,16th,N/A,N/A,N/A
77,120,60,16th,N/A,N/A,N/A
76,160,60,16th,N/A,N/A,N/A
88,199,60,16th,N/A,N/A,N/A
